barri;a2022
el Raval  ;3374  
el Barri Gòtic  ;5186  
la Barceloneta  ;4732  
Sant Pere, Santa Caterina i la Ribera  ;4705  
el Fort Pienc  ;4644  
la Sagrada Família  ;4279  
la Dreta de l'Eixample  ;6267  
l'Antiga Esquerra de l'Eixample  ;5361  
la Nova Esquerra de l'Eixample  ;4389  
Sant Antoni  ;4231  
el Poble Sec-AEI Parc Montjuïc  ;3599  
la Marina del Prat Vermell-AEI Zona Franca  ;3000
la Marina de Port  ;2778  
la Font de la Guatlla  ;3673  
Hostafrancs  ;3391  
la Bordeta  ;3271  
Sants-Badal  ;3361  
Sants  ;3687  
les Corts  ;4690  
la Maternitat i Sant Ramon  ;4305  
Pedralbes  ;6406  
Vallvidrera, el Tibidabo i les Planes  ;3888  
Sarrià  ;5925  
les Tres Torres  ;5882  
Sant Gervasi-la Bonanova  ;5364  
Sant Gervasi-Galvany  ;5498  
el Putxet i el Farró  ;4493  
Vallcarca i els Penitents  ;4212  
el Coll  ;2864  
la Salut  ;4233  
la Vila de Gràcia  ;4882  
el Camp d'en Grassot i Gràcia Nova  ;4390  
el Baix Guinardó  ;4008  
Can Baró  ;2913  
el Guinardó  ;3324  
la Font d'en Fargues  ;3536  
el Carmel  ;2495  
la Teixonera  ;2665  
Sant Genís dels Agudells ;2470  
Montbau;2470 
la Vall d'Hebron ;3293
la Clota;3293
Horta  ;3045  
Vilapicina i la Torre Llobeta  ;2987  
Porta  ;2970  
el Turó de la Peira;2470  
Can Peguera;2470  
la Guineueta  ;2982  
Canyelles;1997  
les Roquetes;1997  
Verdun  ;2502  
la Prosperitat  ;2474  
la Trinitat Nova  ;2147  
Torre Baró ;1626  
Ciutat Meridiana;1626  
Vallbona ;1626  
la Trinitat Vella  ;1974  
Baró de Viver  ;3147
el Bon Pastor  ;2235  
Sant Andreu  ;3371  
la Sagrera  ;3519  
el Congrés i els Indians  ;3274  
Navas  ;3377  
el Camp de l'Arpa del Clot  ;3725  
el Clot  ;3644  
el Parc i la Llacuna del Poblenou  ;4541  
la Vila Olímpica del Poblenou  ;5226  
el Poblenou  ;4780  
Diagonal Mar i el Front Marítim del Poblenou  ;7524  
el Besòs i el Maresme  ;2184  
Provençals del Poblenou  ;3319  
Sant Martí de Provençals  ;2975  
la Verneda i la Pau  ;2606  
